# phi,theta
8.250000000000000000e+01,-2.638779996000000239e+01
9.750000000000000000e+01,-2.638779996000000239e+01
1.125000000000000000e+02,-2.638779996000000239e+01
1.275000000000000000e+02,-2.638779996000000239e+01
1.425000000000000000e+02,-2.638779996000000239e+01
1.575000000000000000e+02,-2.638779996000000239e+01
1.725000000000000000e+02,-2.638779996000000239e+01
1.875000000000000000e+02,-2.638779996000000239e+01
2.025000000000000000e+02,-2.638779996000000239e+01
2.175000000000000000e+02,-2.638779996000000239e+01
2.325000000000000000e+02,-2.638779996000000239e+01
2.475000000000000000e+02,-2.638779996000000239e+01
2.625000000000000000e+02,-2.638779996000000239e+01
2.775000000000000000e+02,-2.638779996000000239e+01
2.925000000000000000e+02,-2.638779996000000239e+01
3.075000000000000000e+02,-2.638779996000000239e+01
3.225000000000000000e+02,-2.638779996000000239e+01
3.375000000000000000e+02,-2.638779996000000239e+01
3.525000000000000000e+02,-2.638779996000000239e+01
0.000000000000000000e+00,-1.947122063000000480e+01
1.500000000000000000e+01,-1.947122063000000480e+01
3.000000000000000000e+01,-1.947122063000000480e+01
4.500000000000000000e+01,-1.947122063000000480e+01
6.000000000000000000e+01,-1.947122063000000480e+01
7.500000000000000000e+01,-1.947122063000000480e+01
9.000000000000000000e+01,-1.947122063000000480e+01
1.050000000000000000e+02,-1.947122063000000480e+01
1.200000000000000000e+02,-1.947122063000000480e+01
1.350000000000000000e+02,-1.947122063000000480e+01
1.500000000000000000e+02,-1.947122063000000480e+01
1.650000000000000000e+02,-1.947122063000000480e+01
1.800000000000000000e+02,-1.947122063000000480e+01
1.950000000000000000e+02,-1.947122063000000480e+01
2.100000000000000000e+02,-1.947122063000000480e+01
2.250000000000000000e+02,-1.947122063000000480e+01
2.400000000000000000e+02,-1.947122063000000480e+01
2.550000000000000000e+02,-1.947122063000000480e+01
2.700000000000000000e+02,-1.947122063000000480e+01
2.850000000000000000e+02,-1.947122063000000480e+01
3.000000000000000000e+02,-1.947122063000000480e+01
3.150000000000000000e+02,-1.947122063000000480e+01
3.300000000000000000e+02,-1.947122063000000480e+01
3.450000000000000000e+02,-1.947122063000000480e+01
7.500000000000000000e+00,-1.283958841000000461e+01
2.250000000000000000e+01,-1.283958841000000461e+01
3.750000000000000000e+01,-1.283958841000000461e+01
5.250000000000000000e+01,-1.283958841000000461e+01
6.750000000000000000e+01,-1.283958841000000461e+01
8.250000000000000000e+01,-1.283958841000000461e+01
9.750000000000000000e+01,-1.283958841000000461e+01
1.125000000000000000e+02,-1.283958841000000461e+01
1.275000000000000000e+02,-1.283958841000000461e+01
1.425000000000000000e+02,-1.283958841000000461e+01
1.575000000000000000e+02,-1.283958841000000461e+01
1.725000000000000000e+02,-1.283958841000000461e+01
1.875000000000000000e+02,-1.283958841000000461e+01
2.025000000000000000e+02,-1.283958841000000461e+01
2.175000000000000000e+02,-1.283958841000000461e+01
2.325000000000000000e+02,-1.283958841000000461e+01
2.475000000000000000e+02,-1.283958841000000461e+01
2.625000000000000000e+02,-1.283958841000000461e+01
2.775000000000000000e+02,-1.283958841000000461e+01
2.925000000000000000e+02,-1.283958841000000461e+01
