,source_id,scores,ra,dec,l,b,pmra,pmdec,Nyx,GMag,BPMag,RPMag,RUWE
1649,474252767026840192,0.9342703819274902,57.58986225432192,60.59429173188371,143.22694510553427,4.979422906007607,69.20769318990158,-387.63516945697233,0.9741066004540728,13.080242,14.031333,12.106861,1.0973439
1650,385536712830958080,0.8939409852027893,3.9262239236907366,44.24466687740389,116.20879370259648,-18.160120330228217,71.09314225608314,-17.96007671069735,0.989412999108258,12.637849,12.990726,12.122351,0.90767676
1651,5381866116658043648,0.8960299491882324,173.72065242361342,-43.98473492399553,288.6695083094302,16.75667812141079,-19.01983918410439,-0.6386001866150687,0.9755977134687366,12.36968,12.841757,11.727006,0.93330777
1652,5850191549639257216,0.9310512542724608,206.562531504868,-68.99530686357345,307.83592091807145,-6.647061988378408,-127.6351852283792,-21.18477984250661,0.986744999363514,12.396776,12.822876,11.795124,0.92718697
1653,5380469947344232960,0.8916467428207397,177.6470436626204,-41.987488327515685,290.99309972762705,19.46928126063942,-35.64711256647641,14.691244584881304,0.9847938278418876,9.632322,10.347798,8.810744,0.8956588
1654,5823627524831713280,0.8574840426445007,231.8648099876587,-67.12965150139694,317.2593193238043,-8.7051432074826,-48.14734116133743,-31.777618999985386,0.973007963596109,12.447659,12.826397,11.89717,1.6066425
1655,4419720908945105024,0.8753025531768799,227.83505241746607,0.0708408030355332,359.91272652678026,46.871000697350354,-65.2870772086074,-18.11820172555537,0.9672512741195556,11.737147,12.031271,11.283021,1.133523
1656,3757918160037090176,0.969945192337036,163.72851734526122,-10.728426813656222,262.2800444540657,42.76093329118432,-106.24026803278537,-26.023002797691547,0.9828969091128352,12.422816,12.724811,11.951868,1.1016698
1657,4918748318639766016,0.8949727416038513,7.516669799876657,-57.09632164435297,308.7017873052184,-59.79187129474446,57.35285873319046,-24.46754778500245,0.9598768861059008,12.212784,12.459149,11.814087,3.911813
1658,6383802654473757696,0.9201412796974182,334.075166026306,-70.16543573316665,319.4521354906367,-41.63076729228878,40.99302467047096,-10.16850048494882,0.9834157863113836,9.625138,10.336826,8.807676,0.9197637
1659,6182813887420797568,0.8983259201049805,197.8379260757345,-29.498508948789237,308.1092327291454,33.17297409756606,-34.569528207405064,-14.046607777016913,0.9835978299515586,10.805391,11.280724,10.160908,0.8951945
1660,6303728177559645056,0.8681749105453491,213.8846237786939,-11.932734823380308,333.24279712105925,45.93105595762388,-217.07805332710493,69.3329978982217,0.9789929284016738,11.915341,12.284017,11.374757,0.981122
1661,1746001306445648512,0.9428802728652954,321.6343691124081,11.737887692145176,64.04240366027226,-26.932955269464788,37.28259015559597,-1.985673403364864,0.9886133410710994,10.512927,11.038975,9.827776,0.90831864
1662,2805401787967040512,0.8744484782218933,14.668565155280396,25.876085482062567,124.96923706820708,-36.9670375438571,68.5775501227066,-13.881307122604971,0.989483432388195,12.242915,12.584833,11.731122,1.3060527
1663,6346367440347655168,0.9459322094917296,305.8854333814668,-84.12702609093962,309.13044561270686,-29.288729957464003,27.187197975852783,-42.71889023027869,0.9906538741222796,12.898853,13.223958,12.201346,3.791688
1664,448950388833660800,0.8867202997207642,56.45646264888587,57.98735719478933,144.39623607811805,2.5774520631045093,12.377622745142716,-18.84274071512628,0.9709105274999872,13.107336,14.0811405,12.129778,1.0259852
1665,481271465142978560,0.877716064453125,81.54269661557818,67.14673020139882,145.17870554920663,17.12990691861727,28.328635025913236,-98.87491442713724,0.9884164546138412,11.50939,11.853939,10.986286,1.7923361
1666,3748776648565642624,0.9471014142036438,156.928566921361,-16.360650104798207,259.9872353209158,34.26507802072643,-104.83416280604446,62.09043641591269,0.9851380313074138,11.84655,12.1665745,11.355129,1.1150889
